2025-11-26 22:28:35 - step,loss,accuracy
2025-11-26 22:28:41 - 494,1.659424,0.500000
2025-11-26 22:28:41 - 495,1.807007,0.375000
2025-11-26 22:28:41 - 496,1.927124,0.343750
2025-11-26 22:28:41 - 497,1.900391,0.312500
2025-11-26 22:28:41 - 498,1.669800,0.406250
2025-11-26 22:28:41 - 499,1.814331,0.468750
2025-11-26 22:28:41 - 500,1.704346,0.375000
2025-11-26 22:28:42 - 501,1.682251,0.531250
2025-11-26 22:28:42 - 502,1.561157,0.375000
2025-11-26 22:28:42 - 503,1.575928,0.625000
2025-11-26 22:28:42 - 504,1.794678,0.375000
2025-11-26 22:28:42 - 505,2.039062,0.343750
2025-11-26 22:28:42 - 506,1.681519,0.406250
2025-11-26 22:28:42 - 507,1.842529,0.375000
2025-11-26 22:28:42 - 508,1.590454,0.437500
2025-11-26 22:28:42 - 509,1.747437,0.437500
2025-11-26 22:28:42 - 510,1.563843,0.437500
2025-11-26 22:28:42 - 511,1.701050,0.437500
2025-11-26 22:28:42 - 512,1.694580,0.343750
2025-11-26 22:28:42 - 513,1.751587,0.406250
2025-11-26 22:28:42 - 514,1.544189,0.531250
